Year,UNIT_MULT,BASE_PER,SERIES,UNIT_MEASURE,Value
2015,6,2015,ER_FFS_CMPT,CON_USD,20167.644
2016,6,2015,ER_FFS_CMPT,CON_USD,15104.068
2017,6,2015,ER_FFS_CMPT,CON_USD,16494.264
2018,6,2015,ER_FFS_CMPT,CON_USD,15493.532
2019,6,2015,ER_FFS_CMPT,CON_USD,15398.101
2015,0,,ER_FFS_CMPT_GDP,PT,0.68766
2016,0,,ER_FFS_CMPT_GDP,PT,0.50629
2017,0,,ER_FFS_CMPT_GDP,PT,0.54343
2018,0,,ER_FFS_CMPT_GDP,PT,0.50414
2019,0,,ER_FFS_CMPT_GDP,PT,0.4948
2015,0,2015,ER_FFS_CMPT_PC,CON_USD,306.21923
2016,0,2015,ER_FFS_CMPT_PC,CON_USD,227.82106
2017,0,2015,ER_FFS_CMPT_PC,CON_USD,247.18854
2018,0,2015,ER_FFS_CMPT_PC,CON_USD,230.75878
2019,0,2015,ER_FFS_CMPT_PC,CON_USD,228.01813
