Year,Value,Observation status,Unit multiplier
1970,186000.0,Normal value,Thousands
1971,231000.0,Normal value,Thousands
1972,243000.0,Normal value,Thousands
1973,246000.0,Normal value,Thousands
1974,307000.0,Normal value,Thousands
1975,388000.0,Normal value,Thousands
1976,487000.0,Normal value,Thousands
1977,638000.0,Normal value,Thousands
1978,763000.0,Normal value,Thousands
1979,1016000.0,Normal value,Thousands
1980,797000.0,Normal value,Thousands
1981,1081000.0,Normal value,Thousands
1982,1028000.0,Normal value,Thousands
1983,1061000.0,Normal value,Thousands
1984,1070000.0,Normal value,Thousands
1985,1180000.0,Normal value,Thousands
1986,1185000.0,Normal value,Thousands
1987,1142000.0,Normal value,Thousands
1988,1485000.0,Normal value,Thousands
1989,1578000.0,Normal value,Thousands
1990,1485000.0,Normal value,Thousands
1991,1815000.0,Normal value,Thousands
1992,1848000.0,Normal value,Thousands
1993,1945000.0,Normal value,Thousands
1994,2089000.0,Normal value,Thousands
1995,2029000.0,Normal value,Thousands
1996,2050000.0,Normal value,Thousands
1997,2096000.0,Normal value,Thousands
1998,2332000.0,Normal value,Thousands
1999,2118000.0,Normal value,Thousands
2000,2974000.0,Normal value,Thousands
2001,3179000.0,Normal value,Thousands
2002,3281000.0,Normal value,Thousands
2003,3847000.0,Normal value,Thousands
2004,4302000.0,Normal value,Thousands
2005,5926000.0,Normal value,Thousands
2006,6770000.0,Normal value,Thousands
2007,4921000.0,Normal value,Thousands
2008,6356000.0,Normal value,Thousands
2009,7300976.237289995,Normal value,Thousands
2010,8528781.042927243,Normal value,Thousands
2011,8628623.087847997,Normal value,Thousands
2012,8801919.047425846,Normal value,Thousands
2013,11406860.450010212,Normal value,Thousands
2014,11700471.98552536,Normal value,Thousands
2015,12135596.438341629,Normal value,Thousands
2016,13377131.388476798,Normal value,Thousands
2017,14051283.2660311,Normal value,Thousands
2018,14542075.8794493,Normal value,Thousands
2019,15176498.0420355,Normal value,Thousands
2020,14478645.7486557,Normal value,Thousands
