Value,Disaggregation combinations using this value,Number of indicators
Custom code 01,5,2
Custom code 02,11,2
Custom code 03,11,2
Custom code 04,5,1
Custom code 08,5,1
Custom code 100,5,1
Custom code 144,5,1
Custom code 156,5,1
Custom code 231,5,1
Custom code 232,4,1
Custom code 270,5,1
Custom code 288,5,1
Custom code 356,5,1
Custom code 388,5,1
Custom code 404,5,1
Custom code 422,4,1
Custom code 440,5,1
Custom code 50,5,1
Custom code 524,5,1
Custom code 566,5,1
Custom code 586,5,1
Custom code 608,5,1
Custom code 616,5,1
Custom code 642,5,1
Custom code 646,5,1
Custom code 694,5,1
Custom code 704,4,1
Custom code 706,5,1
Custom code 710,5,1
Custom code 716,5,1
Custom code 728,3,1
Custom code 76,5,1
Custom code 764,5,1
Custom code 800,5,1
Custom code 834,5,1
Custom code 894,5,1
